2025-05-31 11:09:55 INFO data_prep :: Loaded Features.csv -> (8190, 12)
2025-05-31 11:09:56 INFO data_prep :: Loaded sales.csv -> (421570, 5)
2025-05-31 11:09:56 INFO data_prep :: Loaded stores.csv -> (45, 3)
2025-05-31 11:09:56 INFO data_prep :: Dropping sparse columns: ['MarkDown1', 'MarkDown2', 'MarkDown3', 'MarkDown4', 'MarkDown5']
2025-05-31 11:09:56 INFO data_prep :: Merging datasets …
2025-05-31 11:09:56 INFO data_prep :: Merged dataset shape: (421570, 12)
2025-05-31 11:09:57 INFO matplotlib.category :: Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2025-05-31 11:09:57 INFO matplotlib.category :: Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2025-05-31 11:09:57 INFO matplotlib.category :: Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2025-05-31 11:09:57 INFO matplotlib.category :: Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2025-05-31 11:09:57 INFO matplotlib.category :: Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2025-05-31 11:09:57 INFO matplotlib.category :: Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2025-05-31 11:09:57 INFO matplotlib.category :: Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2025-05-31 11:09:57 INFO matplotlib.category :: Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2025-05-31 11:09:57 INFO matplotlib.category :: Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2025-05-31 11:09:57 INFO matplotlib.category :: Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
