antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({40, 25})",frozenset({59}),0.059673659673659674,0.25097125097125095,0.020512820512820513,0.34375,1.3696787925696596,1.0,0.0055364474944894545,1.1413771413771414,0.2870299424587973,0.07070166041778254,0.12386540456431538,0.2127418730650155
"frozenset({16, 4})",frozenset({3}),0.06557886557886558,0.2533022533022533,0.02206682206682207,0.3364928909952607,1.328424388683744,1.0,0.005455547646689839,1.1253801753801753,0.2645793269512301,0.0743455497382199,0.11141139512060406,0.2118047277062193
"frozenset({90, 4})",frozenset({3}),0.06013986013986014,0.2533022533022533,0.020046620046620046,0.3333333333333333,1.3159509202453987,1.0,0.0048130579599111045,1.12004662004662,0.25545634920634913,0.06832627118644066,0.1071800208116545,0.20623721881390591
"frozenset({5, 7})",frozenset({10}),0.06184926184926185,0.25423465423465424,0.020512820512820513,0.3316582914572864,1.3045361280731285,1.0,0.004788594811904835,1.1158443895285999,0.24883420924500932,0.06940063091482648,0.10381769233749492,0.20617144401715176
"frozenset({1, 2})",frozenset({9}),0.06355866355866356,0.25703185703185705,0.020823620823620825,0.3276283618581907,1.2746605251254275,1.0,0.00448701949867451,1.1049962562689837,0.23010239212170144,0.06946604458268532,0.09501955836801029,0.20432204066307358
"frozenset({82, 3})",frozenset({92}),0.06216006216006216,0.25811965811965815,0.02035742035742036,0.3275,1.2687913907284767,1.0,0.004312686363968414,1.1031677946176088,0.22588968928072245,0.06787564766839378,0.0935195852534562,0.20318407585791692
"frozenset({4, 5})",frozenset({74}),0.06169386169386169,0.25205905205905205,0.020202020202020204,0.32745591939546603,1.2991238232489668,1.0,0.004651523905603163,1.112106952556391,0.2453894565189698,0.06881948120698783,0.10080590926861084,0.2038019424350943
"frozenset({82, 38})",frozenset({4}),0.061383061383061384,0.255011655011655,0.020046620046620046,0.3265822784810126,1.2806562839886144,1.0,0.004393223973643553,1.1062796852270536,0.23348221161250574,0.06764551651809124,0.09606945390599003,0.20259644088584453
"frozenset({81, 67})",frozenset({1}),0.06433566433566433,0.2613830613830614,0.02097902097902098,0.3260869565217392,1.2475443312826346,1.0,0.0041627680788519986,1.0960122314961025,0.21206887006588068,0.06884242733299337,0.08760142335733047,0.2031742749314998
"frozenset({82, 46})",frozenset({87}),0.06169386169386169,0.2463092463092463,0.020046620046620046,0.3249370277078086,1.319223831734857,1.0,0.004850851470898091,1.116474735877721,0.25788866892112233,0.06961683756071237,0.10432366459788624,0.20316252016305256
"frozenset({5, 6})",frozenset({40}),0.06169386169386169,0.24786324786324787,0.020046620046620046,0.3249370277078086,1.310952835924607,1.0,0.004754979113953471,1.1141727261130245,0.2527917504384376,0.06924315619967793,0.10247309365697276,0.20290738532725852
