Date,Actual,Forecast,Lower CI,Upper CI
2012-04-15,34684.21,116919.74569570465,99481.44911538906,134358.04227602025
2012-04-22,16976.19,260332.77796516672,210138.19505950506,310527.3608708284
2012-04-29,16347.6,507636.4415841598,382187.8270668681,633085.0561014515
2012-05-06,17147.44,1073222.921305201,774981.2104715642,1371464.6321388378
2012-05-13,18164.2,2432613.934510283,1738141.002489614,3127086.866530952
2012-05-20,18517.79,5555186.598328135,3952529.9451459064,7157843.251510363
2012-05-27,16963.55,12717396.428316895,9033396.131437842,16401396.725195948
2012-06-03,16065.49,29129906.27094794,20676108.60246016,37583703.93943572
2012-06-10,17666.0,66739694.36750069,47355077.05438352,86124311.68061787
2012-06-17,17558.82,152929182.8535977,108494736.9808661,197363628.7263293
2012-06-24,16633.41,350450621.21078825,248610264.11801007,452290978.30356646
2012-07-01,15722.82,803101685.5247781,569706002.6497252,1036497368.399831
2012-07-08,17823.37,1840429829.9029326,1305552939.7702591,2375306720.0356064
2012-07-15,16566.18,4217639431.620703,2991867532.650381,5443411330.591025
2012-07-22,16348.06,9665417734.748682,6856343456.232872,12474492013.264492
2012-07-29,15731.18,22149919436.222603,15712440852.315136,28587398020.13007
2012-08-05,16628.31,50760258046.41,36007679344.54945,65512836748.27055
2012-08-12,16119.92,116325673654.74925,82517641328.73322,150133705980.7653
2012-08-19,17330.7,266579878129.91156,189103061583.50958,344056694676.31354
2012-08-26,16286.4,610912715905.1477,433361518926.8515,788463912883.4438
2012-09-02,16680.24,1400009460440.1016,993120950833.9987,1806897970046.2046
2012-09-09,18322.37,3208357672126.8037,2275904050487.4795,4140811293766.128
2012-09-16,19616.22,7352492432138.195,5215617760031.741,9489367104244.65
2012-09-23,19251.5,16849475822207.812,11952467279730.125,21746484364685.5
2012-09-30,18947.81,38613414200556.37,27391093609260.086,49835734791852.65
2012-10-07,21904.47,88489147815379.06,62771308385517.03,114206987245241.1
2012-10-14,22764.01,202787799106412.56,143851034700594.6,261724563512230.53
2012-10-21,24185.27,464722426234509.7,329658895422628.25,599785957046391.1
2012-10-28,27390.81,1064989779490360.8,755468930519086.1,1374510628461635.5
