support,itemsets
0.2613830613830614,frozenset({1})
0.24304584304584304,frozenset({2})
0.2533022533022533,frozenset({3})
0.255011655011655,frozenset({4})
0.24677544677544677,frozenset({5})
0.23667443667443666,frozenset({6})
0.25827505827505826,frozenset({7})
0.2494172494172494,frozenset({8})
0.25703185703185705,frozenset({9})
0.25423465423465424,frozenset({10})
0.24848484848484848,frozenset({11})
0.25594405594405595,frozenset({12})
0.24864024864024864,frozenset({13})
0.2456876456876457,frozenset({14})
0.24988344988344988,frozenset({16})
0.24584304584304584,frozenset({17})
0.1881895881895882,frozenset({18})
0.15944055944055943,frozenset({19})
0.2275058275058275,frozenset({20})
0.2564102564102564,frozenset({21})
0.22268842268842268,frozenset({22})
0.2205128205128205,frozenset({23})
0.20621600621600622,frozenset({24})
0.2386946386946387,frozenset({25})
0.22672882672882672,frozenset({26})
0.21647241647241647,frozenset({27})
0.22843822843822845,frozenset({28})
0.2055944055944056,frozenset({29})
0.2080808080808081,frozenset({30})
0.2331002331002331,frozenset({31})
0.22874902874902875,frozenset({32})
0.21072261072261073,frozenset({33})
0.21072261072261073,frozenset({34})
0.213986013986014,frozenset({35})
0.2114996114996115,frozenset({36})
0.10101010101010101,frozenset({37})
0.2435120435120435,frozenset({38})
0.24786324786324787,frozenset({40})
0.20621600621600622,frozenset({41})
0.2556332556332556,frozenset({42})
0.20777000777000776,frozenset({44})
0.07334887334887336,frozenset({45})
0.245998445998446,frozenset({46})
0.06604506604506605,frozenset({48})
0.1696969696969697,frozenset({49})
0.061383061383061384,frozenset({50})
0.05454545454545454,frozenset({51})
0.24195804195804196,frozenset({52})
0.1682983682983683,frozenset({54})
0.2177156177156177,frozenset({55})
0.22035742035742037,frozenset({56})
0.1703185703185703,frozenset({58})
0.25097125097125095,frozenset({59})
0.22703962703962705,frozenset({60})
0.25547785547785545,frozenset({67})
0.20217560217560218,frozenset({71})
0.2341880341880342,frozenset({72})
0.25205905205905205,frozenset({74})
0.24553224553224554,frozenset({79})
0.2264180264180264,frozenset({80})
0.2466200466200466,frozenset({81})
0.24957264957264957,frozenset({82})
0.23403263403263402,frozenset({83})
0.23574203574203575,frozenset({85})
0.2463092463092463,frozenset({87})
0.23916083916083916,frozenset({90})
0.24895104895104894,frozenset({91})
0.25811965811965815,frozenset({92})
0.2243978243978244,frozenset({93})
0.2153846153846154,frozenset({94})
0.2418026418026418,frozenset({95})
0.18150738150738152,frozenset({96})
0.24055944055944056,frozenset({97})
0.22533022533022534,frozenset({98})
0.031701631701631705,frozenset({99})
0.06355866355866356,"frozenset({1, 2})"
0.0675990675990676,"frozenset({1, 3})"
0.06697746697746698,"frozenset({1, 4})"
0.06402486402486403,"frozenset({1, 5})"
0.05920745920745921,"frozenset({1, 6})"
0.06278166278166278,"frozenset({1, 7})"
0.06526806526806526,"frozenset({8, 1})"
0.0703962703962704,"frozenset({1, 9})"
0.06713286713286713,"frozenset({1, 10})"
0.059518259518259516,"frozenset({1, 11})"
0.06946386946386947,"frozenset({1, 12})"
0.06386946386946386,"frozenset({1, 13})"
0.06418026418026418,"frozenset({1, 14})"
0.06216006216006216,"frozenset({16, 1})"
0.06511266511266511,"frozenset({1, 17})"
0.05097125097125097,"frozenset({1, 18})"
0.04428904428904429,"frozenset({1, 19})"
0.05718725718725719,"frozenset({1, 20})"
0.0630924630924631,"frozenset({1, 21})"
0.05780885780885781,"frozenset({1, 22})"
0.06076146076146076,"frozenset({1, 23})"
0.053613053613053616,"frozenset({24, 1})"
0.06169386169386169,"frozenset({1, 25})"
0.059518259518259516,"frozenset({1, 26})"
0.0533022533022533,"frozenset({1, 27})"
0.05982905982905983,"frozenset({1, 28})"
0.05314685314685315,"frozenset({1, 29})"
0.05097125097125097,"frozenset({1, 30})"
0.06153846153846154,"frozenset({1, 31})"
0.05843045843045843,"frozenset({32, 1})"
0.05485625485625486,"frozenset({1, 33})"
0.05174825174825175,"frozenset({1, 34})"
0.05843045843045843,"frozenset({1, 35})"
0.05641025641025641,"frozenset({1, 36})"
0.024087024087024088,"frozenset({1, 37})"
0.06557886557886558,"frozenset({1, 38})"
0.06853146853146853,"frozenset({40, 1})"
0.052059052059052056,"frozenset({1, 41})"
0.06573426573426573,"frozenset({1, 42})"
0.052059052059052056,"frozenset({1, 44})"
0.06822066822066822,"frozenset({1, 46})"
0.04537684537684538,"frozenset({1, 49})"
0.06355866355866356,"frozenset({1, 52})"
0.04553224553224553,"frozenset({1, 54})"
0.0588966588966589,"frozenset({1, 55})"
0.05687645687645688,"frozenset({56, 1})"
0.045066045066045064,"frozenset({1, 58})"
0.0675990675990676,"frozenset({1, 59})"
0.06278166278166278,"frozenset({1, 60})"
0.07195027195027195,"frozenset({1, 67})"
0.05439005439005439,"frozenset({1, 71})"
0.0644910644910645,"frozenset({72, 1})"
0.06728826728826728,"frozenset({1, 74})"
0.06635586635586635,"frozenset({1, 79})"
0.055322455322455326,"frozenset({80, 1})"
0.06790986790986792,"frozenset({81, 1})"
0.06946386946386947,"frozenset({1, 82})"
0.05982905982905983,"frozenset({1, 83})"
0.05843045843045843,"frozenset({1, 85})"
0.0662004662004662,"frozenset({1, 87})"
0.06495726495726496,"frozenset({1, 90})"
0.06573426573426573,"frozenset({1, 91})"
0.06728826728826728,"frozenset({1, 92})"
0.06091686091686092,"frozenset({1, 93})"
0.05687645687645688,"frozenset({1, 94})"
0.0693084693084693,"frozenset({1, 95})"
0.04724164724164724,"frozenset({96, 1})"
0.06293706293706294,"frozenset({1, 97})"
0.06169386169386169,"frozenset({1, 98})"
0.05811965811965812,"frozenset({2, 3})"
0.06247086247086247,"frozenset({2, 4})"
0.06231546231546232,"frozenset({2, 5})"
0.05672105672105672,"frozenset({2, 6})"
0.06324786324786325,"frozenset({2, 7})"
0.06526806526806526,"frozenset({8, 2})"
0.06542346542346543,"frozenset({9, 2})"
0.05874125874125874,"frozenset({2, 10})"
0.06045066045066045,"frozenset({2, 11})"
0.06697746697746698,"frozenset({2, 12})"
0.06324786324786325,"frozenset({2, 13})"
0.06418026418026418,"frozenset({2, 14})"
0.06091686091686092,"frozenset({16, 2})"
0.05641025641025641,"frozenset({17, 2})"
0.0445998445998446,"frozenset({18, 2})"
0.037606837606837605,"frozenset({2, 19})"
0.05625485625485625,"frozenset({2, 20})"
0.059052059052059055,"frozenset({2, 21})"
0.05547785547785548,"frozenset({2, 22})"
0.05547785547785548,"frozenset({2, 23})"
0.048795648795648794,"frozenset({24, 2})"
0.057653457653457654,"frozenset({25, 2})"
0.055322455322455326,"frozenset({26, 2})"
0.05097125097125097,"frozenset({2, 27})"
0.053613053613053616,"frozenset({2, 28})"
0.050505050505050504,"frozenset({2, 29})"
0.052525252525252523,"frozenset({2, 30})"
0.05687645687645688,"frozenset({2, 31})"
0.055322455322455326,"frozenset({32, 2})"
0.05283605283605284,"frozenset({33, 2})"
0.052525252525252523,"frozenset({34, 2})"
0.05066045066045066,"frozenset({2, 35})"
0.05283605283605284,"frozenset({2, 36})"
0.02191142191142191,"frozenset({2, 37})"
0.0588966588966589,"frozenset({2, 38})"
0.06060606060606061,"frozenset({40, 2})"
0.05299145299145299,"frozenset({41, 2})"
0.06651126651126651,"frozenset({42, 2})"
0.05376845376845377,"frozenset({2, 44})"
0.06091686091686092,"frozenset({2, 46})"
0.04087024087024087,"frozenset({49, 2})"
0.057653457653457654,"frozenset({2, 52})"
0.043045843045843045,"frozenset({2, 54})"
0.05283605283605284,"frozenset({2, 55})"
0.054234654234654234,"frozenset({56, 2})"
0.04382284382284382,"frozenset({2, 58})"
0.06278166278166278,"frozenset({2, 59})"
0.052059052059052056,"frozenset({2, 60})"
0.06386946386946386,"frozenset({2, 67})"
0.046464646464646465,"frozenset({2, 71})"
0.05811965811965812,"frozenset({72, 2})"
0.06153846153846154,"frozenset({2, 74})"
0.06153846153846154,"frozenset({2, 79})"
0.05299145299145299,"frozenset({80, 2})"
0.05874125874125874,"frozenset({81, 2})"
0.06371406371406371,"frozenset({2, 82})"
0.05780885780885781,"frozenset({2, 83})"
0.055633255633255635,"frozenset({2, 85})"
0.059673659673659674,"frozenset({2, 87})"
0.05811965811965812,"frozenset({2, 90})"
0.06355866355866356,"frozenset({2, 91})"
0.06604506604506605,"frozenset({2, 92})"
0.054234654234654234,"frozenset({2, 93})"
0.05097125097125097,"frozenset({2, 94})"
0.059052059052059055,"frozenset({2, 95})"
0.0445998445998446,"frozenset({96, 2})"
0.05345765345765346,"frozenset({97, 2})"
0.05687645687645688,"frozenset({2, 98})"
0.07024087024087024,"frozenset({3, 4})"
0.061072261072261075,"frozenset({3, 5})"
0.06293706293706294,"frozenset({3, 6})"
0.06573426573426573,"frozenset({3, 7})"
0.06573426573426573,"frozenset({8, 3})"
0.06806526806526807,"frozenset({9, 3})"
0.06666666666666667,"frozenset({10, 3})"
0.06247086247086247,"frozenset({11, 3})"
0.06418026418026418,"frozenset({3, 12})"
0.0630924630924631,"frozenset({3, 13})"
0.06278166278166278,"frozenset({3, 14})"
0.07148407148407149,"frozenset({16, 3})"
0.06355866355866356,"frozenset({17, 3})"
0.04630924630924631,"frozenset({18, 3})"
0.03791763791763792,"frozenset({3, 19})"
0.05485625485625486,"frozenset({3, 20})"
0.06573426573426573,"frozenset({3, 21})"
0.05672105672105672,"frozenset({3, 22})"
0.05780885780885781,"frozenset({3, 23})"
0.0533022533022533,"frozenset({24, 3})"
0.06184926184926185,"frozenset({25, 3})"
0.055633255633255635,"frozenset({26, 3})"
0.055322455322455326,"frozenset({3, 27})"
0.061383061383061384,"frozenset({3, 28})"
